"Account", "Профил"
"Cart", ""
"Welcome", "Добре дошли"
"Women", "Дамско"
"Men", "Мъжко"
"Accessories", "Аксесоари"
"Home & Decor", "Дом и Декор"
"Sale", "Разпродажба"
"VIP", "ВИП"
"Sofia Open", "София маратон"
"Varna Open", "Варна маратон"
"Plovdiv Open", "Пловдив маратон"
"Proba", "Проба"
"New event", "Ново Събътие"
"Test", "Тест"

"Firstname", "Име"
"Lastname", "Фамилия"
"Country", "Страна"
"City", "Град"
"Add contestant for ", "Добави съзтезател за "
"Date of birth", "Дата на раждане"
"Date of Birth", "Дата на Раждане"
"Message", "Съобщение"
"Submit", "Подтвърди"
"Add Contestant", "Добави състезател"

"Softuni Contest", "Софтюни съзтезание"
"Contests", "Съзтезания"
"Contestants", "Съзтезатели"
"ID", "Документ за самоличност"
"Title", "Заглавие"
"Telephone", "Телефон"
"Is Active", "Активен ли е?"
"Created at", "Създаден в"
"Updated at", "Актуализиран на"
"Add Contest", "Добавяне на конкурса"
"Reset Filter", "Обнови Филтър"
"Search", "Търси"
"Page", "Страница"
"of", "От"
"View", "изглед"
"per page", "на страница"
"Total", "Общо"
"records found", "Намерени записи"
"Approved", "Одобрен"
"Last name", "Фамилия"
"First name", "Име"
"Contest", "Съзтезание"
"Contestant Information","Информация на съзтезател"
"Contest Information", "Информация о съзтезание"
"Edit Contest 'Varna Open'", "Редактирайте конкурса "Варна маратон""
"Save Contest", "Запази Състезание"
"Delete Contest", "Изтрий Състезание"
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""



